,Channel,CampaignId,TemplateId,TemplateCategory,CampaignTitle,Category,TemplateContent,LongUrl,ScheduleDate,ScheduleTime,Sent,Last_5_Fail,Last_3_Fail,IsDelivered,Click,BotClicks,NotBotClicks,Landed,Login_Last_4_CC,Login_OTP,O_Block,ConsentCTA,ConsentOTP,Set_Pin,Pin_Change,GeneralBlocked,Card_Activated_SameDay,Card_Activated_DiffDay,AlreadyActivated,Managed
0,SMS,241364,6255,Explicit,main_RTG_JAN_HYPSB_crd_rest_dec_strat_1_19976_20251222_1f6b5c_HYPCB_cde1,,"Dear {#var1#}, This is an urgent reminder to activate your new IndusInd Bank Visa Credit Card to avoid Card cancellation. By activating your Card today, you will also get a complimentary Times Prime membership worth INR 1199.
To activate your Card for usage, click: {#var2#} - IndusInd Bank",https://pay.indusind.bank.in/crd/#/manage/timhjoiuytfghjiy/,2026-02-26,16:02:45,2211,0,230,1354,754,1,753,45,29,29,0,0,0,24,0,0.0,25,1,7,5
1,WHATSAPP,243455,1383,Utility,main_Current_febtomay_HYPSB_CURRDAY_WA_HYPCB_0465,,"Dear {#var1#},

You need to activate your new Credit Card ending with xx{#var2#} to perform any transactions.",https://pay.indusind.bank.in/crd/#/managev2/,2026-02-26,16:02:30,490,0,0,193,40,0,40,40,20,20,0,0,0,15,0,,16,2,6,5
2,EMAIL,250912,2003,Promotional,PrvMnth_A_Crd_EML_nw_3feb_2,,Set your IndusInd Bank Credit Card PIN & enjoy the benefits,https://pay.indusind.bank.in/crd/#/managev2/,2026-02-26,15:00:00,2378,0,0,2132,8,0,8,8,3,3,0,0,0,3,0,0.0,2,0,2,2
3,EMAIL,250908,2002,Promotional, CurMnth_A_Crd_EML_nw_THUR,,Enable domestic online transactions on your IndusInd Bank Credit Card,https://pay.indusind.bank.in/crd/#/managev2/,2026-02-26,15:00:00,6333,0,0,5956,71,0,71,65,33,32,0,0,0,22,1,1.0,23,2,7,6
4,EMAIL,243469,2003,Promotional,main_Current_febtomay_HYPSB_CURRDAY_EML_HYPCB_bc78,,Important communication for your NEW IndusInd Bank Credit Card…,https://pay.indusind.bank.in/crd/#/managev2/,2026-02-26,17:30:00,1283,0,0,1227,50,0,50,46,14,13,0,0,0,7,0,0.0,0,7,0,0
5,SMS,241431,6607,Implicit,ePayAmex762_SMS_Jan,,"Activate Your Card!
Set your PIN & activate your IndusInd Bank Credit Card to enjoy seamless transactions.
Start here: {#var1#} - IndusInd Bank",https://pay.indusind.bank.in/crd/#/managev2/,2026-02-26,17:02:00,53,0,3,48,26,0,26,0,0,0,0,0,0,0,0,0.0,0,0,0,0
6,SMS,243468,6592,Implicit,main_Current_febtomay_HYPSB_CURRDAY_SMS_HYPCB_eaaa,,"Activate Your New Credit Card x{#var1#}
Transactions will not proceed until your card is activated.
ACTIVATE now: {#var2#} - IndusInd Bank",https://pay.indusind.bank.in/crd/#/managev2/,2026-02-25,15:02:30,1792,0,17,1674,1040,1,1039,412,280,275,0,0,0,222,5,2.0,197,53,44,31
7,SMS,241389,6164,Implicit,main_bucket_Jan_HYPSB_B31TO37_OX_SM_WedTill31oct_HYPCB_0d91,,"IMMEDIATE ACTION NEEDED!
As per RBI guidelines, your Credit Card will be cancelled if not activated now. Click on the Link {#var1#} and activate your card now to avoid cancellation
- IndusInd Bank",https://pay.indusind.bank.in/crd/#/block/,2026-02-25,11:02:00,590,0,17,531,301,0,301,10,3,2,2,2,2,2,0,0.0,2,0,0,0
8,SMS,250225,6593,Implicit,PrevMnth_A_Crd_SM_nw_4FEB,,"Reminder: Activate your new IndusInd Bank Credit Card x{#var1#} by setting a PIN instantly.
Proceed Now: {#var2#} - IndusInd Bank",https://pay.indusind.bank.in/crd/#/managev2/,2026-02-25,12:02:30,2624,0,115,2301,1228,1,1227,72,44,42,0,0,0,26,0,7.0,28,3,17,12
9,EMAIL,243466,2003,Promotional,main_Current_febtomay_HYPSB_CURRDAY_EML_HYPCB_bc78,,Important communication for your NEW IndusInd Bank Credit Card…,https://pay.indusind.bank.in/crd/#/managev2/,2026-02-25,17:30:00,1623,0,0,1542,61,0,61,61,26,26,0,0,0,18,0,0.0,7,12,3,2
10,SMS,236555,5517,Explicit,main_CURR_JAN_HYPSB_CurrMonth_A_Card_SMS_HYPCB_4280,,"Dear {#var1#}, Congratulations on receiving your new IndusInd Bank Credit Card. To start using your new card, it is important to activate it: {#var2#} Please follow the steps below:

Set your PIN: click on ""Setup PIN"" to set a secure PIN.
Update preferences and limits: Click on ""Manage/Set Limits"" and adjust the settings as per your choice.

Failure to complete these steps will prevent you from using your new card.

Thank you,
- IndusInd Bank",https://pay.indusind.bank.in/crd/#/managev2/,2026-02-25,12:02:00,5825,0,730,3434,1744,0,1744,165,98,98,0,0,0,77,1,4.0,64,21,16,12
11,WHATSAPP,243452,1383,Utility,main_Current_febtomay_HYPSB_CURRDAY_WA_HYPCB_0465,,"Dear {#var1#},

You need to activate your new Credit Card ending with xx{#var2#} to perform any transactions.",https://pay.indusind.bank.in/crd/#/managev2/,2026-02-25,16:02:30,681,0,0,311,43,0,43,43,21,20,0,0,0,10,1,,14,2,9,6
12,SMS,243465,6592,Implicit,main_Current_febtomay_HYPSB_CURRDAY_SMS_HYPCB_eaaa,,"Activate Your New Credit Card x{#var1#}
Transactions will not proceed until your card is activated.
ACTIVATE now: {#var2#} - IndusInd Bank",https://pay.indusind.bank.in/crd/#/managev2/,2026-02-24,15:02:30,1262,0,10,1200,769,0,769,309,223,217,0,0,0,174,3,1.0,167,36,37,27
13,WHATSAPP,243449,1383,Utility,main_Current_febtomay_HYPSB_CURRDAY_WA_HYPCB_0465,,"Dear {#var1#},

You need to activate your new Credit Card ending with xx{#var2#} to perform any transactions.",https://pay.indusind.bank.in/crd/#/managev2/,2026-02-24,16:02:30,492,0,0,189,42,0,42,41,23,18,0,0,0,5,0,,11,1,7,5
14,EMAIL,243463,2003,Promotional,main_Current_febtomay_HYPSB_CURRDAY_EML_HYPCB_bc78,,Important communication for your NEW IndusInd Bank Credit Card…,https://pay.indusind.bank.in/crd/#/managev2/,2026-02-24,17:30:00,1133,0,0,1076,62,0,62,59,31,30,0,0,0,16,1,3.0,7,10,1,0
15,WHATSAPP,253120,1820,Utility,PrevMnth_A_Crd_WA_nw,,"Dear Cardholder,

Kindly activate your new {#var1#} Credit card _ending with xx{#var2#}_ by setting your secured PIN instantly.

Click the button below to activate ⬇️",https://pay.indusind.bank.in/crd/#/managev2/,2026-02-24,16:02:45,2176,0,0,879,40,0,40,40,19,17,0,0,0,10,0,,7,7,9,7
16,SMS,241363,6255,Explicit,main_RTG_JAN_HYPSB_crd_rest_dec_strat_1_19976_20251222_1f6b5c_HYPCB_cde1,,"Dear {#var1#}, This is an urgent reminder to activate your new IndusInd Bank Visa Credit Card to avoid Card cancellation. By activating your Card today, you will also get a complimentary Times Prime membership worth INR 1199.
To activate your Card for usage, click: {#var2#} - IndusInd Bank",https://pay.indusind.bank.in/crd/#/manage/timhjoiuytfghjiy/,2026-02-24,16:02:45,2547,0,283,1518,781,0,781,84,53,53,0,0,0,42,1,0.0,36,9,13,8
17,WHATSAPP,236533,1383,Utility,main_CURR_JAN_HYPSB_CurrMnth_A_Card_WA_N_231225_HYPCB_d361,,"Dear {#var1#},

You need to activate your new Credit Card ending with xx{#var2#} to perform any transactions.",https://pay.indusind.bank.in/crd/#/managev2/,2026-02-24,14:02:00,2551,0,0,1188,124,0,124,123,69,67,0,0,0,42,0,,46,15,34,25
18,WHATSAPP,243446,1383,Utility,main_Current_febtomay_HYPSB_CURRDAY_WA_HYPCB_0465,,"Dear {#var1#},

You need to activate your new Credit Card ending with xx{#var2#} to perform any transactions.",https://pay.indusind.bank.in/crd/#/managev2/,2026-02-23,16:02:30,445,0,0,206,44,0,44,42,22,22,0,0,0,14,0,,19,2,12,9
19,EMAIL,243460,2003,Promotional,main_Current_febtomay_HYPSB_CURRDAY_EML_HYPCB_bc78,,Important communication for your NEW IndusInd Bank Credit Card…,https://pay.indusind.bank.in/crd/#/managev2/,2026-02-23,17:30:00,947,0,0,861,41,0,41,39,22,20,0,0,0,14,1,0.0,5,11,6,3
20,SMS,241386,6599,Implicit,main_bucket_Jan_HYPSB_B31TO37_OX_SM_MonTill31oct_HYPCB_d805,,"ALERT!
You have not set a PIN for your new Credit Card x{#var1#}. Activate your card now to avoid cancellation.
Set PIN: {#var2#} - IndusInd Bank",https://pay.indusind.bank.in/crd/#/block/,2026-02-23,11:02:00,445,0,14,397,203,1,202,13,9,9,9,8,9,9,0,0.0,7,2,0,0
21,SMS,241430,6607,Implicit,ePayAmex762_SMS_Jan,,"Activate Your Card!
Set your PIN & activate your IndusInd Bank Credit Card to enjoy seamless transactions.
Start here: {#var1#} - IndusInd Bank",https://pay.indusind.bank.in/crd/#/managev2/,2026-02-23,17:02:00,55,0,3,49,31,0,31,2,1,1,0,0,0,0,1,0.0,0,0,0,0
22,SMS,243462,6592,Implicit,main_Current_febtomay_HYPSB_CURRDAY_SMS_HYPCB_eaaa,,"Activate Your New Credit Card x{#var1#}
Transactions will not proceed until your card is activated.
ACTIVATE now: {#var2#} - IndusInd Bank",https://pay.indusind.bank.in/crd/#/managev2/,2026-02-23,15:02:30,1055,0,19,993,640,0,640,255,173,172,0,0,0,134,4,1.0,128,33,48,32
23,SMS,236553,5517,Explicit,main_CURR_JAN_HYPSB_CurrMonth_A_Card_SMS_HYPCB_4280,,"Dear {#var1#}, Congratulations on receiving your new IndusInd Bank Credit Card. To start using your new card, it is important to activate it: {#var2#} Please follow the steps below:

Set your PIN: click on ""Setup PIN"" to set a secure PIN.
Update preferences and limits: Click on ""Manage/Set Limits"" and adjust the settings as per your choice.

Failure to complete these steps will prevent you from using your new card.

Thank you,
- IndusInd Bank",https://pay.indusind.bank.in/crd/#/managev2/,2026-02-23,12:02:00,5210,0,678,3079,1673,0,1673,142,85,84,0,0,0,56,6,3.0,43,18,14,13
24,SMS,236551,5517,Explicit,main_CURR_JAN_HYPSB_CurrMonth_A_Card_SMS_HYPCB_4280,,"Dear {#var1#}, Congratulations on receiving your new IndusInd Bank Credit Card. To start using your new card, it is important to activate it: {#var2#} Please follow the steps below:

Set your PIN: click on ""Setup PIN"" to set a secure PIN.
Update preferences and limits: Click on ""Manage/Set Limits"" and adjust the settings as per your choice.

Failure to complete these steps will prevent you from using your new card.

Thank you,
- IndusInd Bank",https://pay.indusind.bank.in/crd/#/managev2/,2026-02-22,12:02:00,6175,0,776,3639,1978,0,1978,199,99,95,0,0,0,61,1,1.0,51,17,16,10
25,SMS,251506,6593,Implicit,PrevMnth_A_Crd_SM_nw_4FEB_2,,"Reminder: Activate your new IndusInd Bank Credit Card x{#var1#} by setting a PIN instantly.
Proceed Now: {#var2#} - IndusInd Bank",https://pay.indusind.bank.in/crd/#/managev2/,2026-02-22,15:02:00,3034,0,123,2771,1468,2,1467,89,55,52,0,0,0,34,0,0.0,32,14,32,28
26,SMS,241385,6602,Implicit,main_bucket_Jan_HYPSB_B31TO37_OX_SM_SunTill31oct_HYPCB_a5f2,,"URGENT!
Please activate your new IndusInd Bank Credit Card x{#var1#} to avoid cancellation per RBI guidelines.
Activate: {#var2#} - IndusInd Bank",https://pay.indusind.bank.in/crd/#/managev2/,2026-02-22,12:02:00,536,0,14,483,254,1,253,19,14,14,14,13,14,12,0,0.0,12,2,0,0
